Jahr;Import/Export;Maßeinheit;WZ;Kennzahl;Polymerart/Packmittel;Warenverzeichnis;Warennummer;Monat;relative Veränderung zum Vorjahr/Vorjahresmonat/Vorjahresquartal;Jahr-Monat
2023,0;Ausfuhr;t;2222;1004571,8;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-8,690639182559213;2023-TOTAL
2024,0;Ausfuhr;t;2222;1006280,4;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;0,1700824172050197;2024-TOTAL
2025,0;Ausfuhr;t;2222;1006946,8;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;0,06622408624872289;2025-TOTAL
2015,0;Einfuhr;Anzahl;2222;6453320159,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;;2015-TOTAL
2016,0;Einfuhr;Anzahl;2222;6561789972,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;1,6808373105233976;2016-TOTAL
2017,0;Einfuhr;Anzahl;2222;7061530047,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;7,6159108586598245;2017-TOTAL
2018,0;Einfuhr;Anzahl;2222;7320611208,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;3,6689097019429573;2018-TOTAL
2019,0;Einfuhr;Anzahl;2222;6813173052,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-6,931636465620095;2019-TOTAL
2020,0;Einfuhr;Anzahl;2222;6355545139,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-6,716810354107528;2020-TOTAL
2021,0;Einfuhr;Anzahl;2222;5901718157,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-7,140646035461984;2021-TOTAL
2022,0;Einfuhr;Anzahl;2222;6470409490,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;9,6360300148437;2022-TOTAL
2023,0;Einfuhr;Anzahl;2222;6248980012,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-3,4221864681395875;2023-TOTAL
2024,0;Einfuhr;Anzahl;2222;5987432738,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-4,185439439680517;2024-TOTAL
2025,0;Einfuhr;Anzahl;2222;6512388058,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;8,767619495218781;2025-TOTAL
2015,0;Einfuhr;Tsd. EUR;2222;2334810,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;;2015-TOTAL
2016,0;Einfuhr;Tsd. EUR;2222;2370588,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;1,532373083891203;2016-TOTAL
2017,0;Einfuhr;Tsd. EUR;2222;3041646,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;28,307660377931555;2017-TOTAL
2018,0;Einfuhr;Tsd. EUR;2222;3292578,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;8,24987523202898;2018-TOTAL
2019,0;Einfuhr;Tsd. EUR;2222;3307686,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;0,45885017758120483;2019-TOTAL
2020,0;Einfuhr;Tsd. EUR;2222;3287481,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-0,6108500020860497;2020-TOTAL
2021,0;Einfuhr;Tsd. EUR;2222;3719578,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;13,143710944641196;2021-TOTAL
2022,0;Einfuhr;Tsd. EUR;2222;4236021,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;13,884451408197386;2022-TOTAL
2023,0;Einfuhr;Tsd. EUR;2222;3815884,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-9,918199177954968;2023-TOTAL
2024,0;Einfuhr;Tsd. EUR;2222;3851499,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;0,9333354997164589;2024-TOTAL
